date,open,high,low,close,volume
2022-09-12,1173.4474025715353,1192.369291715923,1173.4474025715353,1186.0010986328125,7435419
2022-09-13,1195.1081207827935,1200.4491194045427,1187.3477160754526,1195.906982421875,8888657
2022-09-14,1175.4787801044877,1191.4561336808906,1174.451706778856,1181.572998046875,8678219
2022-09-15,1179.1307346574977,1188.5116835520153,1167.1476896556205,1169.8638916015625,10365600
2022-09-16,1161.213264147553,1165.4359048168926,1137.133067391258,1140.8763427734375,20217708
2022-09-19,1140.8762459554318,1151.6038847358493,1132.7277612467549,1142.35986328125,7580254
2022-09-20,1151.4898271317024,1158.4514907194557,1138.8220264150539,1142.54248046875,8411448
2022-09-21,1139.7580348153278,1156.3060391967588,1138.9591731329301,1145.6925048828125,9207309
2022-09-22,1134.8505978968233,1142.6110027498532,1128.5053470017444,1134.896240234375,10308170
2022-09-23,1134.394179751921,1139.3927402184245,1112.0714541784876,1113.62353515625,9528051
2022-09-26,1092.8756748841324,1103.7175409409906,1084.2479451217905,1085.252197265625,12479523
2022-09-27,1092.8528108642224,1107.4607728213189,1077.3776445528867,1093.8800048828125,16154822
2022-09-28,1077.491757249726,1085.5489575446488,1062.3132660155625,1064.7554931640625,16997059
2022-09-29,1077.3320028920632,1080.7556609643932,1055.8766040342564,1061.4915771484375,14671827
2022-09-30,1054.9636064469146,1096.5047707006538,1054.9636064469146,1085.434814453125,18613024
2022-10-03,1091.7117072217247,1103.3294933419215,1078.7015883112226,1081.6688232421875,11852723
2022-10-04,1094.587668996287,1103.808870249341,1091.095426399377,1101.61767578125,8948850
2022-10-06,1108.830344904405,1118.4166846220046,1103.87730611944,1105.680419921875,13352162
2022-10-07,1102.2795971833257,1115.6321543527151,1102.2795971833257,1110.359619140625,7714340
2022-10-10,1097.8743645838504,1103.6262649687026,1090.1139598954956,1098.2396240234375,6329527
2022-10-11,1101.9828714622417,1101.9828714622417,1073.269250949044,1076.3734130859375,9215177
2022-10-12,1073.6801664299744,1087.2381151547559,1069.6172735984808,1084.293701171875,7417103
2022-10-13,1082.5360411069073,1092.8527780894253,1077.3776122421918,1087.7401123046875,7328492
2022-10-14,1102.4393688537991,1103.0556611703817,1081.48615457156,1082.216552734375,9106089
2022-10-17,1075.0496814411536,1101.982888862092,1069.845609321564,1099.5863037109375,16729355
2022-10-18,1105.634748048647,1124.3511243615108,1104.7902440911478,1118.9873046875,12415820
